CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Credit_Utilization_Ratio,Avg_Transaction_Value,Monthly_Transaction_Frequency,Transaction_Change_Ratio,Amount_Change_Ratio,Credit_To_Transaction_Ratio,Inactivity_Score,Relationship_Depth_Score,Contact_Intensity
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,9.3448e-05,0.99991,0.061224489795918366,27.238095238095237,3.5,1.381578947368421,1.4267897231229734,11.093531468531468,0.08333333333333333,73.64912965483092,0.25
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,5.6861e-05,0.99994,0.10465116279069768,39.121212121212125,2.75,1.3692946058091287,1.4269923731623744,6.395042602633618,0.08333333333333333,77.1421551050536,0.16666666666666666
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,2.1081e-05,0.99998,0.0,94.35,1.6666666666666667,1.3333333333333333,1.427490733035782,1.8113407525172232,0.08333333333333333,61.67370238534291,0.0
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0.00013366,0.99987,0.7597343797162692,58.55,1.6666666666666667,1.3333333333333333,1.4268307542341905,2.829205807002562,0.3333333333333333,57.34036905200957,0.08333333333333333
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,2.1676e-05,0.99998,0.0,29.142857142857142,2.3333333333333335,1.3592233009708738,1.4260747990213214,5.779411764705882,0.08333333333333333,60.723653116560456,0.0
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,5.5077e-05,0.99994,0.3109725685785536,45.333333333333336,2.0,1.3483146067415732,1.4266981379491217,3.6856617647058822,0.08333333333333333,60.07789807984491,0.16666666666666666
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0.00012303,0.99988,0.06559276857109746,42.903225806451616,2.5833333333333335,1.3656387665198237,1.4270386266094421,25.95187969924812,0.08333333333333333,77.53799683814177,0.25
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,8.5795e-05,0.99991,0.0480038513118531,42.72222222222222,3.0,1.3740458015267176,1.42724573125464,18.908322496749026,0.16666666666666666,56.1514834407746,0.16666666666666666
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,4.4796e-05,0.99996,0.11260737294201861,56.25,2.0,1.3483146067415732,1.4270613107822412,16.557037037037038,0.16666666666666666,66.74456474651157,0.0
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0.00030251,0.9997,0.14387439945092656,45.03125,2.6666666666666665,1.3675213675213675,1.4271565811627216,8.08882720333102,0.25,72.84465362894865,0.25
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0.00019094,0.99981,0.21739774748073504,28.595238095238095,3.5,1.381578947368421,1.4268741832006655,5.61865112406328,0.25,69.64912965483092,0.16666666666666666
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0.00019751,0.9998,0.17449147883452445,50.53846153846154,2.1666666666666665,1.3541666666666667,1.4270199826238055,6.921613394216134,0.16666666666666666,79.84485790308834,0.25
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,4.7799e-05,0.99995,0.0,90.52941176470588,1.4166666666666667,1.3178294573643412,1.4272465918575536,7.635477582846004,0.5,56.80417130302058,0.0
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,9.6126e-05,0.9999,0.19492219492219492,39.72727272727273,2.75,1.3692946058091287,1.4270164362686406,6.519450800915332,0.08333333333333333,66.80882177172026,0.25
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0.00011382,0.99989,0.2791461412151067,54.13793103448276,2.4166666666666665,1.3615023474178405,1.4272727272727272,1.5515923566878982,0.16666666666666666,74.5615010419136,0.16666666666666666
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,6.3492e-05,0.99994,0.2295701464336325,49.925925925925924,2.25,1.35678391959799,1.4270590726233328,3.1409495548961424,0.08333333333333333,68.37394848623683,0.16666666666666666
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0.00023623,0.99976,0.07778180261468041,61.888888888888886,2.25,1.35678391959799,1.4273511574271804,18.172950329144225,0.16666666666666666,71.20728181957017,0.25
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0.00014953,0.99985,0.095382342076099,48.95238095238095,1.75,1.337579617834395,1.4265889536497365,13.166342412451362,0.3333333333333333,61.13730036221422,0.08333333333333333
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0.00017468,0.99983,0.7882868775446289,44.53333333333333,2.5,1.3636363636363635,1.4270455030976288,2.3899700598802394,0.16666666666666666,68.88826996740178,0.25
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,5.5077e-05,0.99994,0.07995853489979267,57.476190476190474,1.75,1.337579617834395,1.4268826102376169,11.988400994200497,0.08333333333333333,69.30396702888089,0.16666666666666666
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,5.703e-05,0.99994,0.0858000858000858,43.629629629629626,2.25,1.35678391959799,1.426841085271318,17.80899830220713,0.16666666666666666,70.87394848623683,0.0
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0.99616,0.0038363,0.0,43.25,1.3333333333333333,1.3114754098360657,1.4256283477544294,2.0784682080924854,0.25,59.40122240409191,0.25
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,6.9242e-05,0.99993,0.15212527964205816,51.72222222222222,1.5,1.3235294117647058,1.4263827179408612,4.801288936627283,0.16666666666666666,59.17631473892733,0.08333333333333333
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0.00020735,0.99979,0.6260032102728732,48.95652173913044,1.9166666666666667,1.3450292397660821,1.4267612772427776,2.213143872113677,0.25,59.67108407058118,0.16666666666666666
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0.00021042,0.99979,0.0,52.857142857142854,1.75,1.337579617834395,1.4267352185089974,11.006306306306307,0.16666666666666666,65.1373003622142,0.25
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,5.7151e-05,0.99994,0.21485581874356333,47.77272727272727,1.8333333333333333,1.3414634146341464,1.4266322790823946,7.391056137012369,0.08333333333333333,65.2469537070871,0.16666666666666666
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,5.0256e-05,0.99995,0.0929383116883117,52.04347826086956,1.9166666666666667,1.3450292397660821,1.426868518297771,12.350877192982455,0.08333333333333333,68.00441740391452,0.16666666666666666
